Product Name,Category,Sub-Category,Description
"4VO7BU1EU","Residential Pumps","4-Inch Borewell","The 4VO7BU1EU is a water-filled borewell submersible pump combining eco-friendly design with reliable performance. 1 HP capacity single-phase operation with excellent voltage fluctuation tolerance. Ideal for residential and agricultural water supply applications. Features sturdy construction, low noise operation, and energy-efficient performance. IP55 protected. Requires routine maintenance. Your trusted source: Bombay Engineering Syndicate – Crompton distributor."
"4W10BU1AU","Residential Pumps","4-Inch Borewell","The 4W10BU1AU is a water-filled borewell submersible pump combining eco-friendly design with reliable performance. 1HP/0.75 capacity single-phase operation with excellent voltage fluctuation tolerance. Ideal for residential and agricultural water supply applications. Features sturdy construction, low noise operation, and energy-efficient performance. IP55 protected. Requires routine maintenance. Your trusted source: Bombay Engineering Syndicate – Crompton distributor."
"4W12BF1.5E","Residential Pumps","4-Inch Borewell","The 4W12BF1.5E is a water-filled borewell submersible pump combining eco-friendly design with reliable performance. 1.5 HP capacity single-phase operation with excellent voltage fluctuation tolerance. Ideal for residential and agricultural water supply applications. Features sturdy construction, low noise operation, and energy-efficient performance. IP55 protected. Requires routine maintenance. Your trusted source: Bombay Engineering Syndicate – Crompton distributor."
"4W14BF1.5E","Residential Pumps","4-Inch Borewell","The 4W14BF1.5E is a water-filled borewell submersible pump combining eco-friendly design with reliable performance. 1.5 HP capacity single-phase operation with excellent voltage fluctuation tolerance. Ideal for residential and agricultural water supply applications. Features sturdy construction, low noise operation, and energy-efficient performance. IP55 protected. Requires routine maintenance. Your trusted source: Bombay Engineering Syndicate – Crompton distributor."
"4W14BU2EU","Residential Pumps","4-Inch Borewell","The 4W14BU2EU is a water-filled borewell submersible pump combining eco-friendly design with reliable performance. 2HP/1.5 capacity single-phase operation with excellent voltage fluctuation tolerance. Ideal for residential and agricultural water supply applications. Features sturdy construction, low noise operation, and energy-efficient performance. IP55 protected. Requires routine maintenance. Your trusted source: Bombay Engineering Syndicate – Crompton distributor."
"4W7BU1AU","Residential Pumps","4-Inch Borewell","The 4W7BU1AU is a water-filled borewell submersible pump combining eco-friendly design with reliable performance. 1HP/0.75 capacity single-phase operation with excellent voltage fluctuation tolerance. Ideal for residential and agricultural water supply applications. Features sturdy construction, low noise operation, and energy-efficient performance. IP55 protected. Requires routine maintenance. Your trusted source: Bombay Engineering Syndicate – Crompton distributor."
"CFMSMB3D0.50-V24","Residential Pumps","Booster Pumps","The CFMSMB3D0.50-V24 is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"CFMSMB5D1.00-V24","Residential Pumps","Booster Pumps","The CFMSMB5D1.00-V24 is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"Mini Force I","Residential Pumps","Booster Pumps","The Mini Force I mini force pump combines efficiency with reliability for modern residential water management. 0.5HP/0.37 capacity with single-phase operation, featuring advanced electrical construction. Delivers consistent pressure for water boosting and domestic applications. Compact design fits residential spaces. Energy-efficient with IP55 protection. Perfect for home water supply systems. Get yours from Bombay Engineering Syndicate – Crompton's authorized distributor."
"MINI FORCE II","Residential Pumps","Booster Pumps","The MINI FORCE II mini force pump combines efficiency with reliability for modern residential water management. 0.5 HP capacity with single-phase operation, featuring advanced electrical construction. Delivers consistent pressure for water boosting and domestic applications. Compact design fits residential spaces. Energy-efficient with IP55 protection. Perfect for home water supply systems. Get yours from Bombay Engineering Syndicate – Crompton's authorized distributor."
"ARMOR1.0-CQU","Residential Pumps","Control Panels","The ARMOR1.0-CQU is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"ARMOR1.5-DSU","Residential Pumps","Control Panels","The ARMOR1.5-DSU is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"CMB05NV PLUS","Residential Pumps","DMB-CMB Pumps","The CMB05NV PLUS is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"CMB10NV PLUS","Residential Pumps","DMB-CMB Pumps","The CMB10NV PLUS is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"DMB10D PLUS","Residential Pumps","DMB-CMB Pumps","The DMB10D PLUS is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"DMB10DCSL","Residential Pumps","DMB-CMB Pumps","The DMB10DCSL is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"AQUAGOLD 100-33","Residential Pumps","Mini Pumps","The AQUAGOLD 100-33 is a self-priming mini pump engineered for residential and light commercial water supply applications. 1.0 HP capacity with advanced electrical stamping and Hy-Flo technology. Features brass impellers, stainless steel components, and IP55 protection. Reliable for domestic water boosting and pressure management. Compact, efficient, and low-maintenance. Available at Bombay Engineering Syndicate – Crompton's authorized distributor."
"AQUAGOLD 150","Residential Pumps","Mini Pumps","The AQUAGOLD 150 is a self-priming mini pump engineered for residential and light commercial water supply applications. 1.5HP/1.1 capacity with advanced electrical stamping and Hy-Flo technology. Features brass impellers, stainless steel components, and IP55 protection. Reliable for domestic water boosting and pressure management. Compact, efficient, and low-maintenance. Available at Bombay Engineering Syndicate – Crompton's authorized distributor."
"AQUAGOLD 50-30","Residential Pumps","Mini Pumps","The AQUAGOLD 50-30 is a self-priming mini pump engineered for residential and light commercial water supply applications. 0.5 HP capacity with advanced electrical stamping and Hy-Flo technology. Features brass impellers, stainless steel components, and IP55 protection. Reliable for domestic water boosting and pressure management. Compact, efficient, and low-maintenance. Available at Bombay Engineering Syndicate – Crompton's authorized distributor."
"AQUAGOLD DURA 150","Residential Pumps","Mini Pumps","The AQUAGOLD DURA 150 is a self-priming mini pump engineered for residential and light commercial water supply applications. 1.5HP/1.1 capacity with advanced electrical stamping and Hy-Flo technology. Features brass impellers, stainless steel components, and IP55 protection. Reliable for domestic water boosting and pressure management. Compact, efficient, and low-maintenance. Available at Bombay Engineering Syndicate – Crompton's authorized distributor."
"CHAMP DURA I","Residential Pumps","Mini Pumps","The CHAMP DURA I is an economical choice for residential water pressure needs with consistent performance. 1HP single-phase operation with reliable self-priming capability. Compact design ideal for domestic water supply and pressure boosting. Features advanced electrical stamping and IP55 protection. Low maintenance, high reliability. Trusted by homeowners. Available at Bombay Engineering Syndicate – your Crompton distributor."
"CHAMP DURA II","Residential Pumps","Mini Pumps","The CHAMP DURA II is an economical choice for residential water pressure needs with consistent performance. 0.5 HP single-phase operation with reliable self-priming capability. Compact design ideal for domestic water supply and pressure boosting. Features advanced electrical stamping and IP55 protection. Low maintenance, high reliability. Trusted by homeowners. Available at Bombay Engineering Syndicate – your Crompton distributor."
"CHAMP PLUS I","Residential Pumps","Mini Pumps","The CHAMP PLUS I is an economical choice for residential water pressure needs with consistent performance. 1HP single-phase operation with reliable self-priming capability. Compact design ideal for domestic water supply and pressure boosting. Features advanced electrical stamping and IP55 protection. Low maintenance, high reliability. Trusted by homeowners. Available at Bombay Engineering Syndicate – your Crompton distributor."
"CHAMP PLUS II","Residential Pumps","Mini Pumps","The CHAMP PLUS II is an economical choice for residential water pressure needs with consistent performance. 0.5 HP single-phase operation with reliable self-priming capability. Compact design ideal for domestic water supply and pressure boosting. Features advanced electrical stamping and IP55 protection. Low maintenance, high reliability. Trusted by homeowners. Available at Bombay Engineering Syndicate – your Crompton distributor."
"FLOMAX PLUS I","Residential Pumps","Mini Pumps","The FLOMAX PLUS I is an economical choice for residential water pressure needs with consistent performance. 1HP single-phase operation with reliable self-priming capability. Compact design ideal for domestic water supply and pressure boosting. Features advanced electrical stamping and IP55 protection. Low maintenance, high reliability. Trusted by homeowners. Available at Bombay Engineering Syndicate – your Crompton distributor."
"FLOMAX PLUS II","Residential Pumps","Mini Pumps","The FLOMAX PLUS II is an economical choice for residential water pressure needs with consistent performance. 0.5 HP single-phase operation with reliable self-priming capability. Compact design ideal for domestic water supply and pressure boosting. Features advanced electrical stamping and IP55 protection. Low maintenance, high reliability. Trusted by homeowners. Available at Bombay Engineering Syndicate – your Crompton distributor."
"GLIDE PLUS I","Residential Pumps","Mini Pumps","The GLIDE PLUS I is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"GLIDE PLUS II","Residential Pumps","Mini Pumps","The GLIDE PLUS II is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"GLORY PLUS I","Residential Pumps","Mini Pumps","The GLORY PLUS I is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MASTER DURA I","Residential Pumps","Mini Pumps","The MASTER DURA I is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MASTER DURA II","Residential Pumps","Mini Pumps","The MASTER DURA II is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MASTER PLUS I","Residential Pumps","Mini Pumps","The MASTER PLUS I is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MASTER PLUS II","Residential Pumps","Mini Pumps","The MASTER PLUS II is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MINI CREST I","Residential Pumps","Mini Pumps","The MINI CREST I is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MINI CREST II","Residential Pumps","Mini Pumps","The MINI CREST II is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"Mini Everest Mini Pump","Residential Pumps","Mini Pumps","The Mini Everest Mini Pump is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MINI MARVEL I","Residential Pumps","Mini Pumps","The MINI MARVEL I is an economical mini pump for residential water pressure needs with consistent performance. 1HP single-phase operation with reliable self-priming capability. Compact design ideal for domestic water supply and pressure boosting. Features advanced electrical technology and IP55 protection. Low maintenance, high reliability. Available at Bombay Engineering Syndicate – your Crompton distributor."
"MINI MARVEL II","Residential Pumps","Mini Pumps","The MINI MARVEL II is an economical mini pump for residential water pressure needs with consistent performance. 0.5 HP single-phase operation with reliable self-priming capability. Compact design ideal for domestic water supply and pressure boosting. Features advanced electrical technology and IP55 protection. Low maintenance, high reliability. Available at Bombay Engineering Syndicate – your Crompton distributor."
"MINI MASTER I","Residential Pumps","Mini Pumps","The MINI MASTER I is a premium self-priming mini pump engineered for residential water pressure boosting and domestic applications. With 0.74KW capacity and single-phase operation, this Crompton mini pump delivers reliable performance with advanced electrical stamping technology. Features brass impellers, stainless steel components, and IP55 protection. Ideal for water extraction, gardening, and household plumbing. Available at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MINI MASTER II","Residential Pumps","Mini Pumps","The MINI MASTER II is a premium self-priming mini pump engineered for residential water pressure boosting and domestic applications. With 0.5 HP capacity and single-phase operation, this Crompton mini pump delivers reliable performance with advanced electrical stamping technology. Features brass impellers, stainless steel components, and IP55 protection. Ideal for water extraction, gardening, and household plumbing. Available at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MINI MASTERPLUS I","Residential Pumps","Mini Pumps","The MINI MASTERPLUS I is a premium self-priming mini pump engineered for residential water pressure boosting and domestic applications. With 1HP capacity and single-phase operation, this Crompton mini pump delivers reliable performance with advanced electrical stamping technology. Features brass impellers, stainless steel components, and IP55 protection. Ideal for water extraction, gardening, and household plumbing. Available at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MINI MASTERPLUS II","Residential Pumps","Mini Pumps","The MINI MASTERPLUS II is a premium self-priming mini pump engineered for residential water pressure boosting and domestic applications. With 0.5 HP capacity and single-phase operation, this Crompton mini pump delivers reliable performance with advanced electrical stamping technology. Features brass impellers, stainless steel components, and IP55 protection. Ideal for water extraction, gardening, and household plumbing. Available at Bombay Engineering Syndicate – your trusted Crompton distributor."
"MINI SUMO I","Residential Pumps","Mini Pumps","The MINI SUMO I is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"NILE DURA I","Residential Pumps","Mini Pumps","The NILE DURA I is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"NILE PLUS I","Residential Pumps","Mini Pumps","The NILE PLUS I is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"PRIMO I","Residential Pumps","Mini Pumps","The PRIMO I is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"STAR DURA I","Residential Pumps","Mini Pumps","The STAR DURA I is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"STAR PLUS I","Residential Pumps","Mini Pumps","The STAR PLUS I is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"STAR PLUS II","Residential Pumps","Mini Pumps","The STAR PLUS II is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"ULTIMO I","Residential Pumps","Mini Pumps","The ULTIMO I is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"ULTIMO II","Residential Pumps","Mini Pumps","The ULTIMO II is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"WIN PLUS I","Residential Pumps","Mini Pumps","The WIN PLUS I is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"OWE052(1PH)Z-21FS","Residential Pumps","Openwell Pumps","The OWE052(1PH)Z-21FS is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"OWE12(1PH)Z-28","Residential Pumps","Openwell Pumps","The OWE12(1PH)Z-28 is a premium Crompton pump engineered for reliable water extraction and pressure management. Features advanced electrical technology, IP55 protection, and energy-efficient operation. Suitable for residential, agricultural, and commercial applications. Available now at Bombay Engineering Syndicate – your trusted Crompton distributor."
"SWJ1","Residential Pumps","Shallow Well Pumps","The SWJ1 is a shallow well self-priming pump ideal for extracting water from shallow borewells and surface sources. 1HP/0.75 capacity single-phase operation with reliable self-priming capability. Perfect for residential water supply and agricultural irrigation. Compact design with easy installation. Features advanced electrical technology, IP55 protection, and energy-efficient performance. Low maintenance with long service life. Bombay Engineering Syndicate – your Crompton pump specialist."
"SWJ100A-36 PLUS","Residential Pumps","Shallow Well Pumps","The SWJ100A-36 PLUS is a shallow well self-priming pump ideal for extracting water from shallow borewells and surface sources. 1 HP capacity single-phase operation with reliable self-priming capability. Perfect for residential water supply and agricultural irrigation. Compact design with easy installation. Features advanced electrical technology, IP55 protection, and energy-efficient performance. Low maintenance with long service life. Bombay Engineering Syndicate – your Crompton pump specialist."
